document,Q1: Does this document provide information on sustaina...,Q1_type,Q1_dimension,Q1_confidence,Q1_new_category,Q2: What is the main focus and purpose of this documen...,Q2_type,Q2_dimension,Q2_confidence,Q2_new_category,Q3: Which company is the report belong to which compan...,Q3_type,Q3_dimension,Q3_confidence,Q3_new_category,"Q4: Which climate risks are identified, and in which l...",Q4_type,Q4_dimension,Q4_confidence,Q4_new_category,"Q5: Which climate vulnerabilities are described, and w...",Q5_type,Q5_dimension,Q5_confidence,Q5_new_category,"Q6: Which climate hazards are mentioned, and where are...",Q6_type,Q6_dimension,Q6_confidence,Q6_new_category,"Q7: What climate adaptation strategies are proposed, a...",Q7_type,Q7_dimension,Q7_confidence,Q7_new_category,"Q8: Who are the key actors mentioned in the document, ...",Q8_type,Q8_dimension,Q8_confidence,Q8_new_category,Q9: What are the physical risks mentioned in the docum...,Q9_type,Q9_dimension,Q9_confidence,Q9_new_category,timestamp
ID1,"Yes, the document provides information on sustainability, ESG, and climate-related efforts.",exploratory,,,,"The main focus and purpose of this document is to provide a Non-Financial Statement for 2024, detailing Nestlé's sustainability practices, initiatives, and performance, while ensuring compliance with relevant regulations and guidelines. It includes policies on various topics such as discrimination, marketing of infant formulas, and micronutrient fortification, and emphasizes the importance of accountability and adherence to these policies across the organization.",exploratory,,,,The report belongs to Nestlé S.A.,exploratory,,,,"The identified climate risks include transition risks and physical risks, specifically related to natural catastrophes such as precipitation, flood, hail, heat, and drought. These risks are assessed across all stages of Nestlé's value chain, including direct operations, upstream, and downstream activities.",exploratory,,,,"The climate vulnerabilities described include increased heatwaves, droughts, and water stress, which are likely to affect the availability and quality of key raw materials, leading to yield reductions and greater yield variability. These vulnerabilities impact communities and systems related to raw material supply chains, operational capabilities, and asset stability within Nestlé's business operations.",exploratory,,,,"The climate hazards mentioned are heatwaves, drought, water stress, floods, and windstorms. These hazards are expected to occur in various locations relevant to Nestlé's existing sites and greenfield projects, impacting the availability and quality of key raw materials.",exploratory,,,,"The proposed climate adaptation strategies include enhancing operational resilience, modifying business practices, reducing overall GHG emissions, investing in low-carbon logistics, shifting towards renewable energy sources, and leveraging R&D to innovate products with reduced environmental impact. These strategies address risks such as transition risks related to climate change policies and physical risks from natural catastrophes like precipitation, floods, hail, heat, and drought.",exploratory,,,,"The key actors mentioned in the document are:

1. **Executive Board**: Responsible for the execution of Nestlé’s approach, including the implementation of the Human Rights Framework and Roadmap across business categories and geographies.

2. **Human Rights Steering Committee**: Chaired by the Group General Counsel, this committee oversees the implementation of Nestlé’s Salient Issue Action Plans and monitors progress.

3. **ESG and Sustainability Council**: Regularly updated on the progress of the Double Materiality Assessment (DMA) and approves material impacts, risks, and opportunities.

4. **Management**: Responsible for executing sustainability strategies, including the Nestlé Net Zero Roadmap, and ensuring compliance with mandatory reporting obligations.

These actors work together to ensure effective governance and implementation of Nestlé's human rights and sustainability strategies.",exploratory,,,,Changing temperatures and weather extremes can affect Nestlé’s operations.,exploratory,,,,2026-01-30T00:02:50.064143
ID1_1,Not found in document,exploratory,,,,"The main focus and purpose of this document is to outline Danone's strategic plan, known as the ""Renew Strategy,"" which aims to drive growth and transformation in the company by expanding premium brands, enhancing portfolio management, and fostering a consumer-centric culture while ensuring sustainability and operational efficiency.",exploratory,,,,The report belongs to Danone.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,"The key actors mentioned in the document are the Board of Directors and the leadership team of Danone. 

- **Board of Directors**: They are responsible for governance, shareholder engagement, strategy, risk management, sustainability, performance and delivery, portfolio management, and talent governance. The board has a high independence rate and includes a significant percentage of women and non-French nationals.

- **Leadership Team**: They drive a cultural shift towards a performance-oriented and problem-solving organization. Their responsibilities include fostering a performance culture, managing portfolio and incentive schemes, and ensuring operational intensity. They focus on consumer-centric strategies and leveraging digital capabilities. 

Not found in document.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:04:24.944104
ID2,"Yes, the document provides information on sustainability, ESG, and climate-related efforts, including specific objectives related to greenhouse gas emissions, plastic reduction, and water use.",exploratory,,,,"The main focus and purpose of the document is to provide a comprehensive Compensation Report for Nestlé, outlining the company's remuneration policies, principles, and practices aimed at attracting, motivating, and retaining talented employees. It emphasizes alignment with performance culture, corporate governance, and shareholder interests, while also detailing the auditor's responsibilities and the importance of internal controls in ensuring the accuracy of the report.",exploratory,,,,The report belongs to Nestlé S.A.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,"The key actors mentioned in the document are:

1. **Dick Boer** - Chair of the Compensation Committee (CC), an independent and non-executive member of the Board.
2. **Pablo Isla** - Member of the Compensation Committee.
3. **Patrick Aebischer** - Member of the Compensation Committee.
4. **Dinesh Paliwal** - Member of the Compensation Committee.
5. **CEO** - Responsible for determining business and functional objectives for each member of the Executive Board.

The roles and responsibilities include:
- The Chair and members of the CC are responsible for setting compensation and governance according to the Compensation Committee Charter.
- The CEO sets individual objectives related to financial and non-financial performance for Executive Board members.
- The CC sets annual Environmental, Social and Governance (ESG) objectives related to the company's sustainability agenda.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:09:22.994334
ID3,"Yes, the document provides information on sustainability, ESG, and climate-related efforts through the activities of the Sustainability Committee, which oversees non-financial reporting, climate change responses, and human rights programs.",exploratory,,,,"The main focus and purpose of the document is to outline the corporate governance structure, policies, and practices of Nestlé S.A., including details on the Board of Directors, Executive Board, shareholder rights, financial reporting, and compliance with regulatory directives.",exploratory,,,,The report belongs to Nestlé S.A.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,"The key actors mentioned in the document are:

1. **Paul Bulcke** - Active Chairman responsible for the direction and control of the Group regarding Nestlé Health Science and Nestlé’s engagement with L’Oréal.
2. **Pablo Isla** - Vice Chairman and Lead Independent Director, involved in various committees.
3. **Renato Fassbind** - Chair of the Audit Committee.
4. **Hanne Jimenez de Mora** - Chair of the Sustainability Committee.
5. **Dick Boer** - Chair of the Compensation Committee.
6. **Patrick Aebischer, Dinesh Paliwal, Lindiwe M. Sibanda, Chris Leong, Luca Maestri, Rainer Blair, Marie-Gabrielle Ineichen-Fleisch, Geraldine Matchett** - Members of the Board of Directors with various responsibilities across committees.

The Board of Directors is responsible for the long-term strategy and supervision of the Group, overseeing economic, social, and environmental sustainability. Each committee has specific tasks and areas of responsibility defined in their respective charters.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:20:01.551616
ID3_1,Not found in document.,exploratory,,,,"The main focus and purpose of this document is to provide an independent assessment of Danone's marketing practices in Poland, specifically evaluating the alignment of its Country Business Unit (Nutricia Polska Sp. z o.o.) with the Danone Breast-Milk-Substitutes (BMS) Policy and relevant local regulations.",exploratory,,,,The report belongs to Danone.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,"The key actors mentioned in the document are:

1. **Bureau Veritas UK**: Engaged by Danone to conduct an independent assessment of Danone's marketing practices in Poland. They are responsible for overseeing the assessment activities, including conducting interviews and reviewing documentation.

2. **Bureau Veritas Poland**: Collaborated with Bureau Veritas UK in conducting the assessment, specifically responsible for conducting marketplace audits both in-country and remotely.

3. **Danone Early Life Nutrition (Danone)**: The entity being assessed, specifically its Country Business Unit (Nutricia Polska Sp. z o.o.), which is responsible for compliance with the Danone Policy for the Marketing of Breast-Milk-Substitutes.

4. **Government of Poland**: Implemented the WHO Code and related regulations that govern the marketing of Breast Milk Substitutes.

5. **Stakeholders**: Included personnel from the Country Business Unit and distributors involved in BMS sales, marketing, and compliance, who were interviewed during the assessment.

Their specific roles and responsibilities include conducting assessments, ensuring compliance with marketing policies and local regulations, and providing independent evaluations of marketing practices.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:21:41.024117
ID4,"Yes, the document provides information on sustainability, ESG, and climate-related efforts, mentioning targets on greenhouse gas reduction and regenerative agriculture.",exploratory,,,,"The main focus and purpose of this document is to outline Nestlé's strategic progress and action plans aimed at accelerating performance and transformation within the organization. It emphasizes operational excellence, investment for growth, and creating shared value, while detailing changes in organizational structure and efficiency initiatives to drive profitable and sustainable growth.",exploratory,,,,The report belongs to Nestlé S.A.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,"The key actor mentioned in the document is Laurent Freixe, who serves as the Chief Executive Officer of Nestlé S.A. His specific roles and responsibilities include setting the strategic direction for the company, aligning the organization to deliver on objectives, overseeing operational excellence, and driving performance and transformation initiatives. He is also involved in simplifying the organizational structure and ensuring that digital and sustainability efforts report directly to him.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:23:40.545421
ID4_1,"Yes, the document provides information on sustainability, ESG, and climate-related efforts, particularly in relation to biodiversity and sustainable agricultural practices.",exploratory,,,,"The main focus and purpose of this document is to highlight the importance of biodiversity in supporting ecosystems and agricultural practices, address the critical decline of biodiversity, and outline actions and tools for countries and companies to assess and enhance biodiversity conservation efforts, particularly in the context of the Global Biodiversity Framework.",exploratory,,,,The report belongs to Danone Ecosystem.,exploratory,,,,"The identified climate risks include overexploitation, climate change, and pollution. These risks impact agriculture, biodiversity, and ecosystems globally, particularly through agricultural expansion leading to deforestation and loss of pollination services. Specific locations or sectors mentioned include agricultural areas, where practices like monoculture and intensive farming threaten biodiversity and resilience.",exploratory,,,,"The document describes climate vulnerabilities related to biodiversity loss, particularly affecting ecosystems and agricultural systems. Key vulnerabilities include a 73% decline in vertebrate populations, an 85% drop in freshwater populations, and significant forest losses, including an 18% reduction in the Amazon rainforest since 1970. These changes threaten biodiversity, which is crucial for agriculture, as it supports soil health, pollination, and pest control. The agricultural sector itself is a major driver of biodiversity loss, with 80% of bird and land mammal species threatened by habitat loss due to agricultural practices.",exploratory,,,,Not found in document.,exploratory,,,,"The proposed climate adaptation strategies include:

1. **Reducing soil tillage** - Addresses soil erosion and degradation.
2. **Planting and preserving native tree species** - Enhances biodiversity and habitat for fauna.
3. **Digging sediment pits** - Improves soil health and water retention.
4. **Soil covering and mulching** - Reduces erosion and improves soil quality.
5. **Implementing lower strips with aromatic plants and native species** - Supports pollinator populations and biodiversity.
6. **Intra-plot hedge planting** - Provides habitat for local fauna and enhances biodiversity.
7. **Development of a Decision Support Tool for arborists** - Aids in enhancing tree biodiversity.

These strategies address risks related to biodiversity loss, soil degradation, and the impacts of climate change on agricultural practices.",exploratory,,,,"The key actors mentioned in the document and their specific roles and responsibilities are:

1. **DANONE ECOSYSTEM**: Supports, structures, monitors, and challenges the projects related to biodiversity and sustainable agricultural practices.

2. **IMPLEMENTING AND TECHNICAL PARTNERS**: This includes various organizations such as:
   - **EIT FOOD**
   - **WORLD AGROFORESTRY (ICRAF)**
   - **POUR UNE AGRICULTURE DU VIVANT (PADV)**
   - **NUUP BIOSPHERES**
   - **APEXAGRI**
   - **FRENCH AGROFORESTERY ASSOCIATION (AFAF)**
   - **NOE**
   - **FRENCH LIVESTOCK INSTITUTE (IDELE)**

   These partners are involved in the implementation of projects that aim to enhance biodiversity and support farmers in transitioning to sustainable agricultural practices.

3. **FARMERS**: They are the beneficiaries and active participants in the transition to sustainable agricultural practices that positively impact biodiversity.",exploratory,,,,"The physical risks mentioned in the document include:

1. Overexploitation of resources.
2. Climate change.
3. Pollution.
4. Loss of pollination services, which could cost approximately $800 billion.
5. Global deforestation driven by agricultural expansion.
6. Habitat loss threatening 80% of all bird and land mammal species.
7. Decrease in crop diversity by 75% between 1900 and 2000.
8. Weakening of agricultural biodiversity due to intensive farming practices.",exploratory,,,,2026-01-30T00:25:18.610690
ID5,"Yes, the document provides information on sustainability, ESG, and climate-related efforts.",exploratory,,,,"The main focus and purpose of this document is to establish clear priorities for effective harmonization of objectives within Nestlé, aiming to create long-term value through operational efficiency, resource allocation, and continuous investment. It emphasizes surpassing competitors and maintaining a commitment to sustainable growth while addressing risks and ensuring compliance with ethical standards.",exploratory,,,,The report belongs to Nestlé.,exploratory,,,,"The identified climate risks include:

1. **Physical climate disruptions** - such as increased frequency and severity of climate events, land use changes, deforestation, and loss of biodiversity.
2. **Transitional climate disruptions** - related to policies and laws, technological advancements, and market attitudes affecting business operations and consumer demand.
3. **Volatility in supply and prices of raw materials** - due to physical climate changes like water stress and thermal stress.
4. **Impact of policies** - such as carbon taxes, land use restrictions, and changes in agricultural subsidies on operating costs.
5. **Negative impact on reputation** - due to heightened consumer and stakeholder concerns regarding climate change.

These risks affect various sectors and locations, although specific locations are not mentioned in the provided context.",exploratory,,,,"The climate vulnerabilities described include physical disruptions related to climate (e.g., increased frequency and severity of climate events, land use changes, deforestation, loss of biodiversity) and transitional disruptions (e.g., policies and laws, technological advancements, market attitudes) affecting business operations and consumer demand. These vulnerabilities impact the company's performance, supply chain volatility, operational costs, and reputation. The affected communities or systems are not explicitly mentioned in the provided context.",exploratory,,,,"The climate hazards mentioned are ""stress hydrique"" (water stress) and ""stress thermique"" (thermal stress), as well as ""perturbations physiques liées au climat"" (physical disruptions related to climate) including increased frequency and severity of climate events, land use changes, deforestation, and loss of biodiversity. These hazards are expected to occur in various locations affecting supply chains and operations.",exploratory,,,,"The proposed climate adaptation strategies include the implementation of Nestlé's Net Zero Roadmap, the Nestlé Agriculture Framework, and the fundamental requirements for responsible sourcing. These strategies address risks such as physical disruptions related to climate change (e.g., increased frequency and severity of climate events, changes in land use, deforestation, loss of biodiversity), transitional disruptions (e.g., policies and laws, technological advancements, market attitudes), supply chain volatility, and negative impacts on reputation due to heightened consumer and stakeholder concerns regarding climate change.",exploratory,,,,"The key actors mentioned in the document and their specific roles and responsibilities are:

1. **Anna Mohl** - Group Strategy and Business Development
2. **Stefan Palzer** - CEO of Nestlé Health Science
3. **Leanne Geale** - Responsible for Innovation, Technologies, Research and Development
4. **Laurent Freixe** - Chief Executive Officer
5. **Béatrice Guillaume-Grabisch** - Responsible for Human Resources and Business Services
6. **Anna Manz** - Chief Financial Officer
7. **Guillaume Le Cunff** - CEO Zone Europe
8. **Remy Ejel** - CEO Zone Asia, Oceania, and Africa
9. **David Xiqiang Zhang** - CEO Zone Greater China
10. **Steven Wood Presley** - CEO Zone North America
11. **Lisa Gibby** - Deputy Chief Communications Officer

Additionally, the document mentions various committees involved in governance, such as the **Committee of Sustainability** (providing advice on environmental and social sustainability) and the **Committee of Control** (overseeing internal and external audits and compliance).",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:31:52.525786
ID5_1,"Yes, the document provides information on sustainability, ESG, and climate-related efforts, including greenhouse gas emissions reduction, deforestation-free commodities, and B-Corp certification.",exploratory,,,,"The main focus and purpose of this document is to outline the criteria and performance metrics related to Danone's financial and sustainability objectives, including greenhouse gas emissions reduction, B-Corp certification, and other sustainability initiatives, as well as the evaluation of managerial performance for compensation purposes.",exploratory,,,,The report belongs to Danone.,exploratory,,,,"The identified climate risks include greenhouse gas emissions across the value chain (scopes 1, 2, and 3) and deforestation. The locations or sectors mentioned are related to Danone's operations, particularly in agriculture (regenerative agriculture programs), dairy ingredients, packaging, and specific countries such as South Africa, Algeria, Morocco, the Netherlands, and Poland for B Corp certification.",exploratory,,,,Not found in document.,exploratory,,,,Not found in document.,exploratory,,,,"The proposed climate adaptation strategies include:

1. Reduction of greenhouse gas emissions across the value chain (scopes 1, 2, and 3).
2. Verification of key commodities as Deforestation & Conversion Free (vDCF).
3. B-Corp certification for Danone and coverage of employees under this certification.
4. Implementation of regenerative agriculture programs and supplier commitments on dairy ingredients and packaging.
5. Increased share of renewable electricity in Danone's energy mix.

These strategies address specific risks related to climate change, such as greenhouse gas emissions, deforestation, and sustainability in supply chains.",exploratory,,,,"The key actors mentioned in the document are the Board of Directors and Danone's executive corporate officers. 

- **Board of Directors**: They determine the specific criteria for the managerial component of the annual variable compensation and assess the achievement levels for these criteria. They also set the target annual variable compensation based on recommendations from the Nomination, Compensation, and Governance Committee.

- **Danone's Executive Corporate Officers**: They are responsible for achieving the set targets related to financial performance, sustainability, and managerial criteria, which influence their annual variable compensation. 

Not found in document.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:33:12.991092
ID6,"Yes, the document provides information on sustainability, ESG, and climate-related efforts.",exploratory,,,,"The main focus and purpose of the document is to outline Nestlé's commitment to Creating Shared Value and Sustainability, highlighting how the company supports people, the planet, and communities. It aims to provide concrete examples of Nestlé's efforts in enhancing quality of life, promoting responsible practices, and encouraging partnerships to maximize positive impacts across its business and the global community.",exploratory,,,,The report belongs to Nestlé.,exploratory,,,,"The identified climate risks include climate change, nature loss, and extreme weather events, which are impacting the food system and agriculture. The locations or sectors affected are global, particularly the agricultural sector and food supply chains.",exploratory,,,,"The document describes climate vulnerabilities such as extreme weather events, biodiversity loss, and the depletion of natural resources. These vulnerabilities affect communities involved in food and agriculture, including farmers, workers in waste management, and the broader population reliant on resilient food supply chains. Additionally, the document highlights the economic inequalities faced by vulnerable populations and the need for resilience among multinational companies like Nestlé to support various stakeholders.",exploratory,,,,"The climate hazards mentioned are increased global heating, droughts, storms, fires, and floods. These hazards are expected to occur throughout the world, challenging farmers and Nestlé's supply chain.",exploratory,,,,"The proposed climate adaptation strategies include:

1. **Regenerative Agricultural Practices**: Encouraging farmers to adopt practices such as planting diverse crops and implementing precision farming techniques to reduce reliance on fossil fuel-based fertilizers and pesticides.

2. **Soil Health Improvement**: Helping farmers improve soil health to enhance its ability to absorb and store carbon dioxide, retain water, and provide a buffer against hotter weather and drought.

3. **Water and Environmental Stewardship**: Focusing on water stewardship and broader environmental stewardship to protect and restore natural environments.

4. **Collaboration at Landscape Level**: Working beyond farm boundaries to involve multiple stakeholders in protecting genetic diversity and scaling up effective practices.

These strategies address specific risks such as climate change impacts (e.g., hotter weather and drought), nature loss, and the volatility of chemical fertilizer and pesticide prices.",exploratory,,,,"The key actors mentioned in the document include:

1. **Nestlé Employees and On-site Contractors**: They are responsible for implementing the company's policies and practices related to human rights and sustainability.

2. **Farmers and Workers in Supply Chains**: They are directly impacted by Nestlé's sourcing practices and are involved in initiatives like the Nestlé Cocoa Plan.

3. **Communities Living Around Operations and Supply Chains**: These communities are engaged in collective action and benefit from Nestlé's commitment to human rights and sustainable practices.

4. **Business Partners**: They collaborate with Nestlé to build capacity and raise awareness regarding human rights and sustainability issues.

5. **Signatories of Collective Action Initiatives**: They work together to address issues like child labor in cocoa-growing communities.

The specific roles and responsibilities include raising awareness, building capacity, empowering communities, ensuring compliance with human rights standards, and collaborating on collective engagement to address systemic environmental and social issues.",exploratory,,,,Not found in document.,exploratory,,,,2026-01-30T00:38:27.253875
