document_id,impact_type,risk_description,financial_amount,currency,cost_type,time_period,geographic_location,estimation_method,climate_scenario,modeling_approach,capex_disclosed,source_page,found,source_text
danone_2024_report_6f79,cost_estimate,,,,,,,,,,False,0,False,
danone_2024_report_6f79,capex_opex,Adaptation investment,,,unknown,,,,,,False,0,True,
diageo_2023_report_a28c,cost_estimate,,,,,,,,,,False,0,False,
diageo_2023_report_a28c,capex_opex,Adaptation investment,200 million,EUR,capex,2022,,,,,True,10,True,
heineken_n_v_2024_report_6acd,cost_estimate,,,,,,,,,,False,0,False,
heineken_n_v_2024_report_6acd,capex_opex,Adaptation investment,,,unknown,,,,,,False,0,True,
kerry_group_2025_report_3ad5,cost_estimate,,,,,,,,,,False,0,False,
kerry_group_2025_report_3ad5,capex_opex,Adaptation investment,,,unknown,,,,,,False,0,True,
nestl_2024_report_2ce8,cost_estimate,Transition risks over 10 years,Not disclosed,CHF,projected future costs,10 years,Global,analysis of risk impacts from Low – Paris Ambition; Intermediate – RCP 4.5 and High – RCP 8.5,Low – Paris Ambition; Intermediate – RCP 4.5; High – RCP 8.5,,False,285,True,
nestl_2024_report_2ce8,cost_estimate,Physical risks affecting yield change in 2040,Not disclosed,CHF,scenario-based estimates,2040,Global,modeling results,steady-state; intermediate climate scenario (+2 to 3°C by 2100),,False,285,True,
nestl_2024_report_2ce8,capex_opex,Adaptation investment,Not disclosed,CHF,unknown,Not disclosed,,,,,False,63,True,
nestl_2024_report_2ce8,scenario_impact,Physical risks,Not disclosed,CHF,scenario_based,medium to longer term,,,RCP 4.5,,False,42,True,
pernod_ricard_2023_report_6256,cost_estimate,Impact of climate change on vineyards,not disclosed,EUR,projected future costs,20 to 30 years,Champagne and Cognac AOCs,scenario-based estimates,changing climate,,False,8,True,
pernod_ricard_2023_report_6256,capex_opex,Adaptation investment,not disclosed,EUR,unknown,not specified,,,,,False,17,True,
pernod_ricard_espa_a_2024_report_63aa,cost_estimate,,,,,,,,,,False,0,False,
pernod_ricard_espa_a_2024_report_63aa,capex_opex,Adaptation investment,,,unknown,,,,,,False,0,True,
