document_id,stakeholder_type,engagement_activity,purpose_or_focus,geographic_focus,source_page,found,source_text
danone_2024_report_6f79,,,,,0,False,
diageo_2023_report_a28c,farmers,Training in regenerative agriculture practices,Improve soil health and reduce emissions,Ireland,7,True,
diageo_2023_report_a28c,governments,Collaborating with EU policymakers on sustainability policies,Create supportive policies for sustainable agriculture,Europe,8,True,
diageo_2023_report_a28c,local communities,Community engagement initiatives for water stewardship,Address local water challenges,Local catchments in Europe,9,True,
diageo_2023_report_a28c,NGOs,Partnerships for environmental sustainability,Promote responsible consumption and environmental responsibility,Global,10,True,
heineken_n_v_2024_report_6acd,,,,,0,False,
kerry_group_2025_report_3ad5,,,,,0,False,
nestl_2024_report_2ce8,suppliers,Collaboration on mitigation strategies,Developing resilience in supply chains,Global,38,True,
nestl_2024_report_2ce8,farmers,Training and support programs,Enhancing sustainable agricultural practices,Global,38,True,
nestl_2024_report_2ce8,governments,Policy advocacy,Promoting climate-friendly regulations,Global,38,True,
nestl_2024_report_2ce8,NGOs,Partnerships for sustainability initiatives,Addressing climate change impacts,Global,38,True,
pernod_ricard_2023_report_6256,farmers,Training in regenerative practices,Enhance resilience and sustainability,Champagne and Cognac regions,9,True,
pernod_ricard_2023_report_6256,research institutions,Collaborative varietal research program,Develop disease-resistant grape varieties,Cognac region,12,True,
pernod_ricard_2023_report_6256,NGOs,Partnership for biodiversity initiatives,Protect and enhance local ecosystems,France,17,True,
pernod_ricard_espa_a_2024_report_63aa,proveedores,Compra a proveedores locales,Reconocimiento al compromiso con la compra a proveedores locales,,37,True,
